Sex,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
f,47.96,39.81,35.42,43.26,42.63,55.8,61.76,40.13,42.32,62.38
m,60,47.07,42.18,54.69,56.73,58.5,66.39,48.44,51.84,57.01
